shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell0_X0_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.57376537453448 7.57376537453448 19.713282221578645 18  0.00413622 0.00419191 0.00429445 0.00582489 0.00585144 0.00582516 0.00585135 -0.00000002 -0.00000000 -0.00168891 -0.00163322 -0.00155690
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 4.565751472509687 7.664413314073836 7.573765382331708 19.80393016891523 18  0.00192598 0.00192464 0.00192948 0.00183243 0.00183855 0.00183167 0.00183835 -0.00000001 -0.00000001 0.00009432 0.00009297 0.00009114
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono3_fix1//test20tig_AVDZ// DONE 7.5737653974569294 7.664413314073836 4.565751473146237 19.803930184677 18  0.00368680 0.00363042 0.00357368 0.00311387 0.00313346 0.00311334 0.00313384 -0.00000001 -0.00000000 0.00057347 0.00051710 0.00043985
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono3_fix1/shell1_X-1_Y0_Z0_mono2_fix1//test20tig_AVDZ// DONE 4.565751473146237 7.66441332146008 7.664413321585641 19.89457811619196 18  -0.00405137 -0.00403432 -0.00398501 -0.00551676 -0.00549060 -0.00551650 -0.00549056 -0.00000001 -0.00000000 0.00146514 0.00148218 0.00150555
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.762161009125471 6.283227169962362 20.61113965159752 18  -0.00494548 -0.00492518 -0.00499135 -0.00636400 -0.00645795 -0.00636421 -0.00645821 -0.00000001 -0.00000000 0.00141873 0.00143904 0.00146686
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVDZ// DONE 4.565751472509687 6.283227169962361 9.762161009125473 20.61113965159752 18  0.00277633 0.00281281 0.00290031 0.00463878 0.00467578 0.00463855 0.00467605 -0.00000001 0.00000000 -0.00186221 -0.00182573 -0.00177574
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono2_fix1/shell1_X0_Y0_Z-1_mono2_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.763617675955022 6.28322716996236 20.61259631842707 18  0.00377155 0.00374623 0.00369712 0.00567852 0.00566402 0.00567867 0.00566425 -0.00000001 -0.00000001 -0.00190711 -0.00193243 -0.00196712
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z0_mono1_fix1//test20tig_AVDZ// DONE 4.565751472509687 9.763617675955024 6.283227169962361 20.612596318427073 18  0.00574878 0.00564813 0.00556175 0.00676595 0.00681682 0.00676576 0.00681731 -0.00000001 -0.00000001 -0.00101697 -0.00111762 -0.00125555
shell0_X0_Y0_Z0_mono0_fix1/shell1_X1_Y0_Z-1_mono0_fix1/shell1_X1_Y0_Z0_mono3_fix1//test20tig_AVDZ// DONE 8.69884916629692 7.573765382331708 4.565751473146237 20.838366021774867 18  -0.00484582 -0.00476938 -0.00467535 -0.00487242 -0.00488296 -0.00487233 -0.00488306 -0.00000001 -0.00000000 0.00002652 0.00010296 0.00020771
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z1_mono0_fix1/shell1_X0_Y1_Z1_mono3_fix1//test20tig_AVDZ// DONE 8.69884916629692 4.565751484644253 7.57376537453448 20.83836602547565 18  -0.00208470 -0.00208149 -0.00204883 -0.00216923 -0.00214187 -0.00216974 -0.00214149 -0.00000001 -0.00000000 0.00008505 0.00008826 0.00009266
