shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 4.38165304261412 2 -0.66057651 0.43209890 0.43209700 -0.00000000 -1.09267351 -1.01320800 -1.05914900
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 1 -0.35750432 0.55808020 0.55807960 -0.00000000 -0.91558392 -0.85573700 -0.89033600
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718793492955 1 -0.35750599 0.55807900 0.55807880 -0.00000000 -0.91558479 -0.85573770 -0.89033680
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720349898126 1 -0.35750564 0.55808200 0.55808110 -0.00000000 -0.91558674 -0.85573930 -0.89033860
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 1 -0.35750379 0.55808230 0.55808180 -0.00000000 -0.91558559 -0.85573850 -0.89033760
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.8542918473850225 2 -0.46081383 0.33033770 0.33033620 -0.00000000 -0.79115003 -0.73187150 -0.76614190
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875191366439 1 -0.54495467 0.16066510 0.16066520 -0.00000001 -0.70561986 -0.64082920 -0.67828630
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.879875284071528 1 -0.54495869 0.16066630 0.16066580 -0.00000001 -0.70562448 -0.64083330 -0.67829070
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876783261088 1 -0.54495250 0.16066220 0.16066200 -0.00000001 -0.70561449 -0.64082470 -0.67828130
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879876784204481 1 -0.54495659 0.16066310 0.16066280 -0.00000001 -0.70561939 -0.64082890 -0.67828590
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 2 -0.05448628 0.15261440 0.15261370 -0.00000001 -0.20709997 -0.20550810 -0.20642840
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z1_mono0_fix1//test20tig_AVTZ// DONE 6.602802553139406 2 -0.08642902 -0.04184480 -0.04184526 -0.00000000 -0.04458375 -0.04261992 -0.04375526
