shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.854291847385022 4.879876784204481 28.37513504502633 2            	  -0.00273083 -0.00269993 -0.00267031 0.00057878 0.00056502 0.00057800 0.00056527 -0.00000000 0.00000000 -0.00330883 -0.00327793 -0.00323559
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.8798752840715265 4.854291847385022 28.375135233875202 2            	  -0.00273061 -0.00269984 -0.00267040 0.00057872 0.00056495 0.00057790 0.00056517 -0.00000001 0.00000000 -0.00330850 -0.00327774 -0.00323557
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.38165304261412 4.879875191366439 28.375135400070853 2            	  -0.00273058 -0.00269985 -0.00267055 0.00057862 0.00056483 0.00057788 0.00056507 -0.00000000 0.00000000 -0.00330845 -0.00327773 -0.00323562
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z1_mono0_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.381653042614121 4.879876783261088 28.375135588919733 2            	  -0.00273076 -0.00270011 -0.00267090 0.00057869 0.00056492 0.00057794 0.00056514 -0.00000001 0.00000000 -0.00330869 -0.00327804 -0.00323604
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.879875191366439 4.689720349898127 29.56007843455345 1            	  -0.00159695 -0.00150866 -0.00137745 0.00032886 0.00033719 0.00032727 0.00033747 0.00000000 -0.00000000 -0.00192422 -0.00183592 -0.00171492
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.689718793492955 4.8798752840715265 29.560078624345717 1            	  -0.00246011 -0.00234396 -0.00218514 0.00061574 0.00061620 0.00061610 0.00061576 -0.00000000 -0.00000000 -0.00307621 -0.00296006 -0.00280089
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 4.689718751012225 4.854291847385022 29.560079930254787 3            	  -0.00245944 -0.00234402 -0.00218625 0.00061566 0.00061611 0.00061601 0.00061562 0.00000000 -0.00000000 -0.00307545 -0.00296004 -0.00280188
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.879876784204481 4.689720349898127 29.560080027391493 1            	  -0.00245937 -0.00234397 -0.00218621 0.00061572 0.00061617 0.00061608 0.00061571 -0.00000001 0.00000000 -0.00307544 -0.00296005 -0.00280193
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.38165304261412 4.8798752840715265 4.854291847385022 29.56008012004705 3            	  -0.00159707 -0.00150862 -0.00137713 0.00032876 0.00033710 0.00032714 0.00033741 0.00000000 0.00000000 -0.00192421 -0.00183575 -0.00171454
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.689718793492955 4.879876783261088 29.56008012353528 1            	  -0.00159820 -0.00150883 -0.00137608 0.00032893 0.00033726 0.00032729 0.00033756 -0.00000000 0.00000000 -0.00192549 -0.00183611 -0.00171363
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1//test20tig_AVTZ// DONE 6.064820747978854 4.689718751012225 4.38165304261412 29.56008152309283 3            	  -0.00159827 -0.00150851 -0.00137530 0.00032883 0.00033715 0.00032721 0.00033744 0.00000000 -0.00000000 -0.00192548 -0.00183573 -0.00171274
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X1_Y0_Z1_mono0_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.689720404504576 6.064820747978854 4.854291847385022 29.560081619236612 3            	  -0.00246147 -0.00234405 -0.00218356 0.00061562 0.00061608 0.00061603 0.00061560 -0.00000000 0.00000000 -0.00307750 -0.00296007 -0.00279916
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.879875191366439 4.879876784204481 30.288215872247488 1            	  0.00029298 0.00031988 0.00035196 0.00266456 0.00266159 0.00266540 0.00266061 -0.00000000 -0.00000000 -0.00237243 -0.00234552 -0.00230864
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y0_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689718793492955 4.8798752840715265 4.879876783261088 30.288216006489915 1            	  -0.00013793 -0.00008477 -0.00001508 0.00233505 0.00233271 0.00233542 0.00233225 -0.00000001 -0.00000000 -0.00247335 -0.00242018 -0.00234733
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y1_Z-1_mono1_fix1/shell1_X-1_Y1_Z0_mono1_fix1/shell1_X0_Y1_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.879875191366439 4.879876784204481 4.689720349898127 30.288217471133393 1            	  -0.00013783 -0.00008463 -0.00001492 0.00233511 0.00233274 0.00233555 0.00233235 0.00000000 -0.00000000 -0.00247338 -0.00242018 -0.00234727
shell0_X0_Y0_Z0_mono0_fix1/shell0_X0_Y0_Z0_mono1_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X-1_Y0_Z0_mono1_fix1//test20tig_AVTZ// DONE 4.689720404504576 4.8798752840715265 4.879876783261088 30.288217617501537 1            	  0.00029376 0.00031994 0.00035099 0.00266458 0.00266160 0.00266539 0.00266058 0.00000000 -0.00000000 -0.00237163 -0.00234546 -0.00230958
shell0_X0_Y0_Z0_mono0_fix1/shell1_X-1_Y1_Z-1_mono1_fix1/shell1_X0_Y0_Z-1_mono0_fix1/shell1_X-1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.689718751012225 4.38165304261412 4.854291847385022 30.28821816972169 3            	  -0.00012985 -0.00008003 -0.00001496 0.00233514 0.00233277 0.00233555 0.00233236 -0.00000000 -0.00000000 -0.00246540 -0.00241558 -0.00234732
shell0_X0_Y0_Z0_mono0_fix1/shell1_X0_Y0_Z-1_mono1_fix1/shell1_X1_Y0_Z-1_mono0_fix1/shell1_X1_Y0_Z0_mono0_fix1//test20tig_AVTZ// DONE 4.8798752840715265 6.602802553139408 4.854291847385022 30.28821830396412 3            	  0.00029379 0.00032001 0.00035115 0.00266463 0.00266165 0.00266550 0.00266070 -0.00000000 -0.00000000 -0.00237170 -0.00234548 -0.00230955
